date,収支タイプ,収支カテゴリー,収支項目,金額,目標
2024-12-05,特別収支,支出,家電,-0.0,0
2024-12-05,特別収支,支出,ふるさと納税,-0.0,0
2024-12-05,一般収支,収入,ポイント,1905.0,0
2024-12-05,特別収支,支出,固定資産税,-0.0,0
2024-12-06,一般収支,支出,ローン返済,-0.0,0
2024-12-06,特別収支,支出,子供,-0.0,0
2024-12-06,一般収支,支出,生活費,-0.0,0
2024-12-06,特別収支,収入,所得税還付,0.0,0.0
2024-12-06,特別収支,支出,車検A,-0.0,0
2024-12-06,特別収支,収入,賞与,0.0,0
2024-12-06,特別収支,支出,車検B,-0.0,0
2024-12-06,特別収支,支出,固定資産税,-0.0,0
2024-12-06,特別収支,収入,児童手当,0.0,0
2024-12-06,特別収支,支出,ローン一括,-0.0,0
2024-12-06,特別収支,収入,年末調整,0.0,0
2024-12-06,一般収支,支出,子供費用,-0.0,0
2024-12-06,特別収支,収入,退職金,0.0,0
2024-12-06,特別収支,支出,ふるさと納税,-0.0,0
2024-12-06,特別収支,支出,車,-0.0,0
2024-12-06,一般収支,収入,ポイント,21.0,0
2024-12-06,一般収支,収入,給与,0.0,0
2024-12-06,特別収支,収入,贈与,0.0,0
2024-12-06,特別収支,収入,NTT,0.0,0
2024-12-06,特別収支,収入,特典,0.0,0
2024-12-06,特別収支,支出,自動車税,-0.0,0
2024-12-06,特別収支,支出,家電,-0.0,0
2024-12-07,特別収支,収入,贈与,0.0,0
2024-12-07,特別収支,支出,自動車税,-0.0,0
2024-12-07,特別収支,収入,賞与,0.0,0
2024-12-07,特別収支,支出,車検A,-0.0,0
2024-12-07,特別収支,支出,ローン一括,-0.0,0
2024-12-07,特別収支,支出,子供,-0.0,0
2024-12-07,一般収支,支出,生活費,-0.0,0
2024-12-07,特別収支,収入,児童手当,0.0,0
2024-12-07,特別収支,支出,固定資産税,-0.0,0
2024-12-07,特別収支,支出,家電,-0.0,0
2024-12-07,一般収支,収入,給与,0.0,0
2024-12-07,特別収支,収入,NTT,0.0,0
2024-12-07,一般収支,収入,ポイント,251.0,0
2024-12-07,特別収支,支出,車検B,-0.0,0
2024-12-07,一般収支,支出,子供費用,-0.0,0
2024-12-07,特別収支,収入,退職金,0.0,0
2024-12-07,特別収支,収入,特典,0.0,0
2024-12-07,特別収支,支出,車,-0.0,0
2024-12-07,一般収支,支出,ローン返済,-0.0,0
2024-12-07,特別収支,収入,所得税還付,0.0,0.0
2024-12-07,特別収支,支出,ふるさと納税,-0.0,0
2024-12-07,特別収支,収入,年末調整,0.0,0
2024-12-08,特別収支,支出,車,-0.0,0
2024-12-08,特別収支,支出,ローン一括,-0.0,0
2024-12-08,特別収支,支出,家電,-0.0,0
2024-12-08,一般収支,支出,生活費,-0.0,0
2024-12-08,特別収支,支出,固定資産税,-0.0,0
2024-12-08,一般収支,収入,ポイント,0.0,0
2024-12-08,特別収支,収入,所得税還付,0.0,0.0
2024-12-08,一般収支,支出,子供費用,-0.0,0
2024-12-08,一般収支,収入,給与,0.0,0
2024-12-08,特別収支,支出,車検A,-0.0,0
2024-12-08,特別収支,収入,児童手当,0.0,0
2024-12-08,特別収支,収入,特典,0.0,0
2024-12-08,特別収支,収入,退職金,0.0,0
2024-12-08,特別収支,収入,年末調整,0.0,0
2024-12-08,一般収支,支出,ローン返済,-0.0,0
2024-12-08,特別収支,収入,NTT,0.0,0
2024-12-08,特別収支,支出,車検B,-0.0,0
2024-12-08,特別収支,収入,贈与,0.0,0
2024-12-08,特別収支,支出,自動車税,-0.0,0
2024-12-08,特別収支,収入,賞与,0.0,0
2024-12-08,特別収支,支出,子供,-0.0,0
2024-12-08,特別収支,支出,ふるさと納税,-0.0,0
2024-12-09,一般収支,支出,ローン返済,-0.0,0
2024-12-09,特別収支,収入,児童手当,0.0,0
2024-12-09,特別収支,収入,贈与,0.0,0
2024-12-09,特別収支,収入,退職金,0.0,0
2024-12-09,特別収支,支出,家電,-0.0,0
2024-12-09,特別収支,収入,年末調整,0.0,0
2024-12-09,特別収支,支出,ローン一括,-0.0,0
2024-12-09,特別収支,支出,子供,-0.0,0
2024-12-09,一般収支,収入,給与,0.0,0
2024-12-09,一般収支,支出,子供費用,-0.0,0
2024-12-09,特別収支,支出,車,-0.0,0
2024-12-09,特別収支,収入,特典,0.0,0
2024-12-09,特別収支,支出,固定資産税,-0.0,0
2024-12-09,特別収支,支出,ふるさと納税,-0.0,0
2024-12-09,特別収支,収入,所得税還付,0.0,0.0
2024-12-09,特別収支,支出,車検B,-0.0,0
2024-12-09,特別収支,収入,賞与,0.0,0
2024-12-09,特別収支,支出,自動車税,-0.0,0
2024-12-09,一般収支,支出,生活費,-0.0,0
2024-12-09,特別収支,支出,車検A,-0.0,0
2024-12-09,特別収支,収入,NTT,0.0,0
2024-12-09,一般収支,収入,ポイント,147.0,0
2024-12-10,特別収支,支出,車検A,-0.0,0
2024-12-10,特別収支,支出,ふるさと納税,-0.0,0
2024-12-10,一般収支,収入,給与,0.0,0
2024-12-10,特別収支,支出,家電,-0.0,0
2024-12-10,特別収支,収入,賞与,916668.0,800000
2024-12-10,特別収支,収入,年末調整,0.0,0
